seed,static_motif_code_index,dynamic_death_motif_code_index,static_motif_paper_index,dynamic_death_motif_paper_index,memory_fold,relevant_stationary_fold,relevant_fold_source,arrest_fold_converged,same_fold_numerically,dynamic_low,dynamic_high,dynamic_mid,delta_memory,delta_relevant,motif_identity,memory_agreement_at_1e-3,relevant_agreement_at_1e-3
42,91,91,92,92,0.3276298576774112,0.3276298576774171,same memory/arrest branch,True,True,0.32749999999999996,0.32775,0.32762499999999994,-4.857677411262973e-06,-4.857677417147155e-06,True,True,True
43,67,67,68,68,0.3181779350582095,0.3181779350582095,memory fold; arrest solve unresolved,False,False,0.3182499999999999,0.31849999999999995,0.31837499999999996,0.00019706494179044798,0.00019706494179044798,True,True,True
44,95,95,96,96,0.33864286564797674,0.339318867665863,distinct arrest branch,True,False,0.33924999999999994,0.33949999999999997,0.339375,0.0007321343520232393,5.6132334136982376e-05,True,True,True
45,69,69,70,70,0.3172705097335648,0.317465877479051,distinct arrest branch,True,False,0.3172499999999999,0.31749999999999995,0.31737499999999996,0.00010449026643516435,-9.087747905101029e-05,True,True,True
46,22,22,23,23,0.3252695123764896,0.3257676405218143,distinct arrest branch,True,False,0.32575,0.32599999999999996,0.32587499999999997,0.0006054876235103701,0.00010735947818568681,True,True,True
47,79,79,80,80,0.3159808536943678,0.31598085369447965,same memory/arrest branch,True,True,0.31575,0.31599999999999995,0.31587499999999996,-0.0001058536943678301,-0.00010585369447968507,True,True,True
48,13,13,14,14,0.32886087693634014,0.3325905987338302,distinct arrest branch,True,False,0.33224999999999993,0.33249999999999996,0.332375,0.0035141230636598353,-0.00021559873383020234,True,False,True
49,77,77,78,78,0.3300489223464897,0.3300489223464891,same memory/arrest branch,True,True,0.32999999999999996,0.33024999999999993,0.33012499999999995,7.607765351025364e-05,7.607765351086426e-05,True,True,True
50,39,39,40,40,0.3182166861445663,0.31864618898111036,distinct arrest branch,True,False,0.31849999999999995,0.31875,0.31862499999999994,0.00040831385543366183,-2.1188981110420446e-05,True,True,True
51,27,27,28,28,0.33975303138432306,0.3397530313842788,same memory/arrest branch,True,True,0.33924999999999994,0.33949999999999997,0.339375,-0.00037803138432307426,-0.00037803138427883187,True,True,True
52,40,40,41,41,0.3250275784193015,0.32502757841930185,same memory/arrest branch,True,True,0.32499999999999996,0.32524999999999993,0.32512499999999994,9.742158069842022e-05,9.742158069808715e-05,True,True,True
53,87,87,88,88,0.3219314646160022,0.32193146461603095,same memory/arrest branch,True,True,0.32175,0.32199999999999995,0.32187499999999997,-5.646461600222752e-05,-5.6464616030982295e-05,True,True,True
54,48,48,49,49,0.32511006798646697,0.32511006798647113,same memory/arrest branch,True,True,0.32499999999999996,0.32524999999999993,0.32512499999999994,1.4932013532975574e-05,1.4932013528812238e-05,True,True,True
55,62,62,63,63,0.32072732178564106,0.3207273217856373,same memory/arrest branch,True,True,0.3202499999999999,0.32049999999999995,0.32037499999999997,-0.0003523217856410965,-0.00035232178563732175,True,True,True
56,77,77,78,78,0.31240302410025483,0.3128399886493758,distinct arrest branch,True,False,0.31275,0.31299999999999994,0.31287499999999996,0.0004719758997451251,3.5011350624170046e-05,True,True,True
57,89,89,90,90,0.3253573729522152,0.32535737295221806,same memory/arrest branch,True,True,0.32524999999999993,0.32549999999999996,0.32537499999999997,1.762704778479618e-05,1.76270477819096e-05,True,True,True
58,21,21,22,22,0.33155325396754626,0.3315532539675268,same memory/arrest branch,True,True,0.33124999999999993,0.33149999999999996,0.331375,-0.00017825396754628242,-0.000178253967526798,True,True,True
59,67,67,68,68,0.31421170092455813,0.3142117009245355,same memory/arrest branch,True,True,0.31399999999999995,0.3142499999999999,0.31412499999999993,-8.670092455820289e-05,-8.670092453555434e-05,True,True,True
60,65,65,66,66,0.32758578348981027,0.3275857834898177,same memory/arrest branch,True,True,0.32749999999999996,0.32775,0.32762499999999994,3.921651018967687e-05,3.921651018223837e-05,True,True,True
61,34,34,35,35,0.32501848194684607,0.3250184819469389,same memory/arrest branch,True,True,0.32449999999999996,0.32475,0.32462499999999994,-0.00039348194684613036,-0.000393481946938945,True,True,True
