seed,side,window,n,delta_min,delta_max,model,parameters,parameter_se,aicc,delta_aicc
42,dynamic,all,10,1e-05,0.01,free_power,"[17.924148343785006, 0.8178385111719898, 0.5385273236366763]","[1.5894970034576028, 0.07227937096793395, 0.007583469697815224]",20.564126746753253,0.0
42,dynamic,all,10,1e-05,0.01,half_power,"[10.700329298010523, 1.2812159899561024]","[1.8836811004542369, 0.01370901943477824]",32.175237102627335,11.611110355874082
42,dynamic,all,10,1e-05,0.01,logarithmic,"[-269.3923191038869, 50.252502265031275]","[73.60468100100334, 8.807141637252403]",85.90750799154074,65.34338124478748
42,dynamic,drop_smallest,9,2e-05,0.01,free_power,"[19.494917280183294, 0.6966671412830381, 0.5537099314360696]","[1.5073401529835895, 0.07678706872332802, 0.010012180713129683]",16.66368933009813,0.0
42,dynamic,drop_smallest,9,2e-05,0.01,half_power,"[11.924037214029685, 1.258808928894892]","[1.9093678316385265, 0.019222257171355457]",28.113119153364888,11.449429823266758
42,dynamic,drop_smallest,9,2e-05,0.01,logarithmic,"[-190.59884422936977, 38.38786249612281]","[54.49729272827559, 6.872613362859154]",70.6158002255974,53.95211089549927
42,dynamic,drop_largest,9,1e-05,0.005,free_power,"[18.177491543402756, 0.8094919699472941, 0.5393740611794431]","[2.069902967326773, 0.08621827003870247, 0.009072255976946693]",21.184624322894233,0.0
42,dynamic,drop_largest,9,1e-05,0.005,half_power,"[9.816657418114284, 1.2855334436166936]","[2.082473880135103, 0.014381854049666782]",29.568243682550158,8.383619359655924
42,dynamic,drop_largest,9,1e-05,0.005,logarithmic,"[-335.8470660063025, 57.264670034853474]","[84.80997325848517, 9.776721144328388]",76.96007549725962,55.77545117436539
42,dynamic,near_5e-4,6,1e-05,0.0005,free_power,"[7.980203922538886, 1.1367287183303716, 0.5118215949220432]","[1.595756416481709, 0.062236021076770016, 0.004494520805203206]",8.685677683015971,2.7746803316363193
42,dynamic,near_5e-4,6,1e-05,0.0005,half_power,"[3.891479775024631, 1.3128882915626563]","[0.7891928891485696, 0.004470314797976893]",5.910997351379652,0.0
42,dynamic,near_5e-4,6,1e-05,0.0005,logarithmic,"[-658.3739902831018, 89.47932404098006]","[122.87011127371231, 12.68612817617977]",50.19560808814172,44.28461073676207
42,dynamic,near_2e-4,5,1e-05,0.0002,free_power,"[4.263178327987582, 1.2583771484831645, 0.5037276672509287]","[0.5900532118717434, 0.021768753813208367, 0.0013948514411343282]",5.701187261131324,12.391884995691505
42,dynamic,near_2e-4,5,1e-05,0.0002,half_power,"[2.715442680159663, 1.3179187882671333]","[0.23444939494559583, 0.0012188443503526455]",-6.690697734560182,0.0
42,dynamic,near_2e-4,5,1e-05,0.0002,logarithmic,"[-842.0289759676231, 107.00853257540736]","[128.83987111637444, 12.819195049877901]",41.73796453436847,48.428662268928655
42,dynamic,near_1e-4,4,1e-05,0.0001,free_power,"[3.2098892945998427, 1.2909212989414909, 0.5017232832141457]","[0.66324136828944, 0.022175242599573857, 0.001363465116516902]",5.164049499203578,10.179706463898203
42,dynamic,near_1e-4,4,1e-05,0.0001,half_power,"[2.3813296727077033, 1.3192535952927242]","[0.13100715640323587, 0.0006175736160577221]",-5.0156569646946245,0.0
42,dynamic,near_1e-4,4,1e-05,0.0001,logarithmic,"[-1015.631990524246, 123.11592203873063]","[142.90971402430094, 13.743153390621734]",38.67941597725647,43.695072941951096
42,static,all,10,1e-05,0.01,free_power,"[0.12374602507404067, 0.47982213557650305]","[0.05502987097980087, 0.08261953268472431]",-125.79297606186181,3.163138555957616
42,static,all,10,1e-05,0.01,half_power,[0.137609902494731],[0.010723695923094129],-128.95611461781942,0.0
42,static,drop_smallest,9,2e-05,0.01,free_power,"[0.1279656442230221, 0.4863095619907344]","[0.06176336093622858, 0.0900223033971061]",-111.5431176405896,3.407550128333966
42,static,drop_smallest,9,2e-05,0.01,half_power,[0.13751164337303157],[0.011276629570529976],-114.95066776892357,0.0
42,static,drop_largest,9,1e-05,0.005,free_power,"[0.029279065706792215, 0.2730972193060625]","[0.006886420270573683, 0.03448655321103415]",-130.19368284649735,0.0
42,static,drop_largest,9,1e-05,0.005,half_power,[0.1167816386413941],[0.013140818453353376],-118.98077790392934,11.212904942568017
42,static,near_5e-4,6,1e-05,0.0005,free_power,"[0.014474573534441327, 0.20149168826556274]","[0.008898899247215264, 0.0682839559818768]",-86.6169300163054,0.0
42,static,near_5e-4,6,1e-05,0.0005,half_power,[0.1746927867663868],[0.031088131128226344],-81.95861126352386,4.65831875278154
42,static,near_2e-4,5,1e-05,0.0002,free_power,"[0.05486722480526247, 0.3344079265160015]","[0.02156864432820402, 0.04202861564222743]",-78.50432749858668,0.0
42,static,near_2e-4,5,1e-05,0.0002,half_power,[0.24881054405243078],[0.01955074538288135],-76.50649961701498,1.9978278815716948
42,static,near_1e-4,4,1e-05,0.0001,free_power,"[0.12386679329547183, 0.4133987730151007]","[0.024079692569494913, 0.019787946097445393]",-65.06799536847826,2.758595006727333
42,static,near_1e-4,4,1e-05,0.0001,half_power,[0.2876843238576973],[0.010854170361466254],-67.8265903752056,0.0
47,dynamic,all,10,1e-05,0.01,free_power,"[8.06804281903176, 1.7354353963724078, 0.5197591347593272]","[2.662714621427675, 0.1417249445362535, 0.006991737543335131]",30.023575303775374,0.0
47,dynamic,all,10,1e-05,0.01,half_power,"[1.4856562117713092, 2.1854881283135623]","[2.0190256676186538, 0.014694029266168881]",33.56297972957576,3.5394044258003845
47,dynamic,all,10,1e-05,0.01,logarithmic,"[-479.8409454306403, 86.1604199910137]","[122.71589580804111, 14.683526398050496]",96.13077344072552,66.10719813695015
47,dynamic,drop_smallest,9,2e-05,0.01,free_power,"[10.502091059000472, 1.5193820720929638, 0.5323296765377856]","[2.6754959000425513, 0.16119038011874456, 0.009610380555923392]",26.075829379860064,0.0
47,dynamic,drop_smallest,9,2e-05,0.01,half_power,"[2.2872679793091137, 2.170809971624975]","[2.2553919771420254, 0.02270580377626016]",31.11104615446154,5.035216774601476
47,dynamic,drop_smallest,9,2e-05,0.01,logarithmic,"[-349.3265183120695, 66.50769286496181]","[91.77930185891894, 11.574219996643448]",79.99804431444288,53.92221493458281
47,dynamic,drop_largest,9,1e-05,0.005,free_power,"[5.683675310705868, 1.83032645528385, 0.5153802023705824]","[3.091317803794472, 0.15746051686244708, 0.00730262447055468]",27.31303233883927,0.0
47,dynamic,drop_largest,9,1e-05,0.005,half_power,"[-0.1847339077710336, 2.193649338659109]","[1.8680465826517745, 0.012900989047638195]",27.612304934882694,0.2992725960434228
47,dynamic,drop_largest,9,1e-05,0.005,logarithmic,"[-595.457971036636, 98.36008998574249]","[139.6799701921161, 16.102022764482694]",85.94100848678806,58.62797614794879
47,dynamic,near_5e-4,6,1e-05,0.0005,free_power,"[-6.7249820840586025, 2.319456056325609, 0.4961701362439035]","[0.3583205777471204, 0.015960738586358717, 0.0005627995894378391]",-9.866016370025125,0.0
47,dynamic,near_5e-4,6,1e-05,0.0005,half_power,"[-4.415670971419445, 2.213472377917605]","[0.37312170538486006, 0.0021135152579818007]",-3.0782729526912345,6.787743417333891
47,dynamic,near_5e-4,6,1e-05,0.0005,logarithmic,"[-1124.1749236099154, 151.19266720071656]","[201.2933357407228, 20.783191597630054]",56.11923331087911,65.98524968090423
47,dynamic,near_2e-4,5,1e-05,0.0002,free_power,"[-7.519296313450739, 2.3483904774471616, 0.4951862219199633]","[0.25174777694112394, 0.00999765614205096, 0.00034248533553949805]",-3.1314528454456507,0.0
47,dynamic,near_2e-4,5,1e-05,0.0002,half_power,"[-4.1030510757728464, 2.212135146766249]","[0.4520918803504357, 0.0023503137282363273]",-0.1242377259368066,3.007215119508844
47,dynamic,near_2e-4,5,1e-05,0.0002,logarithmic,"[-1423.2301496881862, 179.73641422151366]","[212.82309428907985, 21.175283251857273]",46.75687371259245,49.8883265580381
47,dynamic,near_1e-4,4,1e-05,0.0001,free_power,"[-7.947399830265185, 2.3625780402260452, 0.49471441502131375]","[0.32731423888732825, 0.011641608073138313, 0.00039033651570493153]",-0.7018429702092845,0.0
47,dynamic,near_1e-4,4,1e-05,0.0001,half_power,"[-3.626817961886355, 2.2102325593447842]","[0.5297675534478531, 0.0024973483310100123]",6.161832559449877,6.863675529659162
47,dynamic,near_1e-4,4,1e-05,0.0001,logarithmic,"[-1709.888390697522, 206.33339421202297]","[236.19229944878083, 22.713830518277216]",42.69888184285999,43.400724813069274
47,static,all,10,1e-05,0.01,free_power,"[0.08680643270484587, 0.33796662467022703]","[0.05435469916951842, 0.10736126087041663]",-106.14896443425728,0.7048583243649347
47,static,all,10,1e-05,0.01,half_power,[0.20448486649866138],[0.03238095551498688],-106.85382275862221,0.0
47,static,drop_smallest,9,2e-05,0.01,free_power,"[0.08394422667105446, 0.33159453939251105]","[0.057072948135613005, 0.1167206338716203]",-93.82368944097303,1.0751804593874965
