seed,delta,t_dt_0p01,t_dt_0p005,relative_difference
42,1e-05,419.5999999999999,419.5999999999999,0.0
42,2e-05,297.35,297.35,0.0
42,5e-05,188.85000000000002,188.85000000000002,0.0
42,0.0001,134.4000000000001,134.4000000000001,0.0
42,0.0002,96.19999999999982,96.19999999999982,0.0
42,0.0005,64.19999999999982,64.19999999999982,0.0
47,1e-05,695.0500000000002,695.0500000000002,0.0
47,2e-05,491.0,491.0,0.0
47,5e-05,309.10000000000014,309.10000000000014,0.0
47,0.0001,217.10000000000014,217.10000000000014,0.0
47,0.0002,151.89999999999964,151.89999999999964,0.0
47,0.0005,94.15000000000009,94.15000000000009,0.0
51,1e-05,55.0,55.0,0.0
51,2e-05,54.75,54.75,0.0
51,5e-05,54.05000000000018,54.05000000000018,0.0
51,0.0001,52.94999999999982,52.94999999999982,0.0
51,0.0002,51.0,51.0,0.0
51,0.0005,46.80000000000007,46.80000000000007,0.0
52,1e-05,323.9499999999998,323.9499999999998,0.0
52,2e-05,242.05,242.05,0.0
52,5e-05,168.35000000000036,168.35000000000036,0.0
52,0.0001,130.25,130.25,0.0
52,0.0002,102.25,102.25,0.0
52,0.0005,75.25,75.25,0.0
60,1e-05,576.45,576.45,0.0
60,2e-05,426.79999999999995,426.79999999999995,0.0
60,5e-05,286.8000000000002,286.8000000000002,0.0
60,0.0001,210.39999999999998,210.39999999999998,0.0
60,0.0002,152.59999999999945,152.59999999999945,0.0
60,0.0005,98.44999999999982,98.44999999999982,0.0
