alpha,lambda,strict_sequences,disorder_realizations,strict_fraction,fixed_points,degraded_forward,irregular_nonsequence,transition_rate_mean,transition_rate_sd,binary_retrieval_mean,binary_retrieval_sd,participation_mean,front_width_mean,lyapunov_covered,positive_tail_lyapunov
0.05,0.35,5,5,1.0,0,0,0,0.061375,0.00027950849718747395,0.9391809999999999,0.0004347677540940915,1.3508021460283168,1.2470970564339727,1,0
0.05,0.4,5,5,1.0,0,0,0,0.072,0.00027950849718747395,0.9507869999999998,0.0008464304460497385,1.2717696522288005,1.188850696831448,1,0
0.05,0.5,5,5,1.0,0,0,0,0.081875,0.0,0.9665204000000001,0.00047449689145443445,1.192298603348159,1.1308293231673021,1,0
0.05,0.7,5,5,1.0,0,0,0,0.089375,0.0,0.9869679999999998,0.005708105859214563,1.1397572983985433,1.0876445222173614,1,0
0.05,0.9,5,5,1.0,0,0,0,0.0925,0.0,0.9840308,0.00029309247687377105,1.12998739211206,1.0703456033997876,1,0
0.09,0.35,5,5,1.0,0,0,0,0.06537499999999999,0.0003423265984407291,0.9111446000000001,0.0007757398404105007,1.4320415585074635,1.2139116305230924,1,0
0.09,0.4,5,5,1.0,0,0,0,0.073125,0.0,0.9298829999999999,0.000582710476995246,1.3427226017173761,1.1767514530341854,1,0
0.09,0.5,5,5,1.0,0,0,0,0.081875,0.0,0.9522700000000001,0.0009145493425726088,1.247181471867978,1.1305668395725266,1,0
0.09,0.7,5,5,1.0,0,0,0,0.08875,0.0,0.9692788,0.0012882009548203016,1.1821235665533618,1.0895819011311794,1,0
0.09,0.9,5,5,1.0,0,0,0,0.092125,0.0003423265984407291,0.9771821999999999,0.00043726216392452234,1.1772308486150018,1.0727704518467598,1,0
0.13,0.35,5,5,1.0,0,0,0,0.064125,0.0003423265984407291,0.8753792,0.001934151933018681,1.578862477210873,1.2136991438035123,1,0
0.13,0.4,5,5,1.0,0,0,0,0.071875,0.0,0.9042932,0.0012571122463805892,1.4496713730289914,1.1799637522654833,1,0
0.13,0.5,5,5,1.0,0,0,0,0.080625,0.0,0.9367186000000001,0.0005658734840934239,1.3171771776248573,1.1350790575589027,1,0
0.13,0.7,5,5,1.0,0,0,0,0.088125,0.0,0.9613690000000001,0.0006887249087988966,1.2325820433545558,1.0935191550528092,1,0
0.13,0.9,5,5,1.0,0,0,0,0.091875,0.0,0.9666789999999998,0.0007015703813589042,1.232137500495678,1.076445222173614,1,0
0.15,0.35,1,5,0.2,1,1,2,0.0625,nan,0.840884,nan,1.7494939510728345,1.2257358915067809,0,0
0.15,0.4,5,5,1.0,0,0,0,0.07075,0.00027950849718747395,0.8843828,0.00166170084551939,1.5375795695415886,1.1871133054184113,1,0
0.15,0.5,5,5,1.0,0,0,0,0.080625,0.0,0.9257804000000001,0.0010566505098659684,1.3666655177978495,1.1412161739891258,1,0
0.15,0.7,5,5,1.0,0,0,0,0.088125,0.0,0.9538924,0.001274929527464161,1.2643626565785901,1.096881444909693,1,0
0.15,0.9,5,5,1.0,0,0,0,0.09175,0.000279508497187474,0.9588768,0.0012266540669642544,1.2659166301479683,1.0795575276545217,1,0
