alpha,lambda,seed,P,trajectory_class,transitions,transition_rate,forward_fraction,reversal_fraction,tours,fixed_residual,periodic_closure,peak_analog_mean,binary_retrieval_mean,participation_mean,front_width_mean,quarter_1_transitions,quarter_2_transitions,quarter_3_transitions,quarter_4_transitions,trajectory_source,lyapunov_source,lyapunov_k,lyapunov_final,lyapunov_tail_250,lyapunov_status
0.05,0.35,42,100,strict_sequence,98,0.06125,1.0,0.0,0.98,0.05179071920951067,1.1961380518907567,0.8244862965913102,0.938942,1.348589096178556,1.2460471220548717,24,25,24,25,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p05_lam0p35_s42.npz,,,,,not_computed
0.05,0.35,43,100,strict_sequence,99,0.061875,1.0,0.0,0.99,0.03931845352350291,1.1805098089116466,0.8267849659579402,0.939148,1.344239425476588,1.2419223798512593,25,24,25,25,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p05_lam0p35_s43.npz,,,,,not_computed
0.05,0.35,44,100,strict_sequence,98,0.06125,1.0,0.0,0.98,0.04938109996906023,1.1595569373305719,0.8235701814577088,0.939802,1.3505301091452946,1.2505468408224485,25,24,25,24,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p05_lam0p35_s44.npz,,,,,not_computed
0.05,0.35,45,100,strict_sequence,98,0.06125,1.0,0.0,0.98,0.04940299064429094,0.9135251997356267,0.8268176403481103,0.9386519999999999,1.3549585455856898,1.247797012686707,24,25,24,25,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p05_lam0p35_s45.npz,,,,,not_computed
0.05,0.35,46,100,strict_sequence,98,0.06125,1.0,0.0,0.98,0.02013486718492611,0.8064105672097469,0.8257013287369004,0.939361,1.3556935537554542,1.2491719267545778,25,25,24,24,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p05_lam0p35_s46.npz,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/lyapunov_N2000_a0p05_lam0p35_s46_k1.npz,1,-0.0029400231434340146,0.000487260660980444,no_positive_exponent_resolved
0.05,0.4,42,100,strict_sequence,115,0.071875,1.0,0.0,1.15,0.05965098979067228,0.00010521056771090971,0.8596622357141837,0.94955,1.2693744644840095,1.1903006062121118,29,29,28,29,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p05_lam0p40_s42.npz,,,,,not_computed
0.05,0.4,43,100,strict_sequence,116,0.0725,1.0,0.0,1.16,0.054318112327212155,0.00043930177613174797,0.8608915379835369,0.951915,1.2681698527130962,1.1868008249484407,29,29,29,29,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p05_lam0p40_s43.npz,,,,,not_computed
0.05,0.4,44,100,strict_sequence,115,0.071875,1.0,0.0,1.15,0.05498287149638448,0.00036140410688298907,0.86063671142452,0.950677,1.2704039678100982,1.187488281982376,29,29,28,29,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p05_lam0p40_s44.npz,,,,,not_computed
0.05,0.4,45,100,strict_sequence,115,0.071875,1.0,0.0,1.15,0.02149845294372708,0.002150363005958757,0.8610580038807208,0.9510129999999999,1.2759233818499542,1.189425660896194,29,29,28,29,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p05_lam0p40_s45.npz,,,,,not_computed
0.05,0.4,46,100,strict_sequence,115,0.071875,1.0,0.0,1.15,0.04590809532914904,0.0014343444343423602,0.8609750607367384,0.95078,1.2749765942868443,1.1902381101181176,29,29,28,29,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p05_lam0p40_s46.npz,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/lyapunov_N2000_a0p05_lam0p40_s46_k1.npz,1,-0.004139945277132176,-0.0002831635407491021,no_positive_exponent_resolved
0.05,0.5,42,100,strict_sequence,131,0.081875,1.0,0.0,1.31,0.072900759159642,0.00017470241508412841,0.8943660412124558,0.966318,1.1888307497139454,1.131179301293669,33,33,32,33,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p05_lam0p50_s42.npz,,,,,not_computed
0.05,0.5,43,100,strict_sequence,131,0.081875,1.0,0.0,1.31,0.06884807633383147,0.002172668549631842,0.8950114683456603,0.966516,1.1902408538487563,1.1289294419098805,33,33,32,33,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p05_lam0p50_s43.npz,,,,,not_computed
